32,name,l,t,a,e,toka,k,ro,c,w,b,g,fai,Tig,fbSukima
0,NOTHING,0,200,600,0,1,0,0,0,0,0,0,0,3000,0
1,BOKAGLASS,0.007,20,5,0.65,0.3,0.00079,2540,0.75,15.33,0,0,0,3000,0
2,NOMALGLASS,0.003,5,5,0.65,0.3,0.00079,2540,0.75,6.57,0,0,0,3000,0
3,CONCRETE,0.1,200,600,0.95,0,0.0012,2400,0.9,240,0,0,0,3000,0
4,MOKUJIKU_KABE,0.1,30,90,0.95,0,0.00015,480,1.8,15,1,0.15,1,593,0
5,MOKUJIKU_YUKA,0.1,30,90,0.95,0,0.00015,480,1.8,30,1,0.15,1,593,0
6,MOKUJIKU_YANE,0.1,30,90,0.95,0,0.00015,480,1.8,70,1,0.15,1,593,0
7,MOKUJIKU_KABE_GW,0.1,30,90,0.95,0,0.00015,480,1.8,15,1,0.15,1,593,0
8,MOKUJIKU_YUKA_GW,0.1,30,90,0.95,0,0.00015,480,1.8,30,1,0.15,1,593,0
9,MOKUJIKU_YANE_GW,0.1,30,90,0.95,0,0.00015,480,1.8,10,1,0.15,1,593,0
10,SEKKOU9mm,0.009,15,7.5,0.95,0,0.00016,863,1.13,7.7,0,0.2,0,3000,0
11,SEKKOU12mm,0.012,20,10,0.95,0,0.00016,863,1.13,10.5,0,0.2,0,3000,0
12,SEKKOU24mm,0.024,60,30,0.95,0,0.00016,863,1.13,21,0,0.2,0,3000,0
13,MORTAR20mm,0.02,30,15,0.95,0,0.0012,2400,0.9,48,0,0.2,0,3000,0
14,MOKU9mm,0.009,5,15,0.95,0,0.00015,480,1.8,4.32,1,0.15,1,593,0
15,MOKU12mm,0.012,7.5,22.5,0.95,0,0.00015,480,1.8,5.76,1,0.15,1,593,0
16,MOKU30mm,0.03,15,45,0.95,0,0.00015,480,1.8,14.4,1,0.15,1,593,0
17,NANNENGOHAN9mm,0.009,5,15,0.95,0,0.00015,480,1.8,4.32,1,0.15,0.4,593,0
18,NANNENGOHAN12mm,0.012,15,45,0.95,0,0.00015,480,1.8,5.76,1,0.15,0.4,593,0
19,GAISOU30min,0.016,30,90,0.95,0,0.00028,1088,1.47,17.4,0,0,0,793,0
20,GAISOU20min,0.016,20,60,0.95,0,0.00028,1088,1.47,17.4,0,0,0,693,0
21,TATAMI,0.03,30,60,0.95,0,0.00015,480,1.8,10,1,0.15,1,593,0
22,YANE,0.012,20,60,0.95,0,0.00016,863,1.13,8.5,0,0,0,3000,1
23,YANE+KOYA,0.03,30,60,0.95,0,0.00015,480,1.8,70,1,0.15,1,593,0
24,YUKA,0.04,15,45,0.95,0,0.00015,480,1.8,35,1,0.15,1,593,0
25,MOKU_GAIHEKI,0.03,10,30,0.95,0,0.00015,480,1.8,25,1,0.15,1,593,0
26,MOKU_NAIHEKI,0.02,10,30,0.95,0,0.00015,480,1.8,13,1,0.15,1,593,0
27,YOGYOSIDING,0.016,30,90,0.95,0,0.00028,1088,1.47,17.4,0,0,0,3000,0
28,YANE_NEW,0.012,20,60,0.95,0,0.00016,863,1.13,8.5,0,0,0,3000,0.05
29,SJIKU_KABE,0.1,30,90,0.95,0,0.009,903,0.77,30,0,0,0,3000,0
30,SJIKU_YUKA,0.1,30,90,0.95,0,0.009,903,0.77,30,0,0,0,3000,0
31,SJIKU_YANE,0.1,30,90,0.95,0,0.009,903,0.77,30,0,0,0,3000,0
