80,name,t0,a0,t1,a1,kutai,num,a,,b,,c,
0,ELSE_WALL,200,600,200,600,3,1,3,0,,,,
1,ELSE_YANE,200,600,200,600,3,1,3,0,,,,
2,ELSE_KISO,300,600,300,600,24,2,16,0,3,0,,
3,NOMALGLASS,20,5,20,5,1,1,1,0,,,,
4,BOKAGLASS,20,5,20,5,1,1,1,0,,,,
5,ELSE_YUKA,300,600,300,600,3,2,3,0,16,0,,
6,ELSE_MAJIKIRI,6,12,6,12,26,1,26,0,,,,
7,ELSE_reserved,0,0,0,0,0,0,,,,,,
8,ELSE_CHUKU,0,0,0,0,0,0,,,,,,
9,ELSE_ELSE,0,0,0,0,0,0,,,,,,
10, TAIKA_WALL,200,600,200,600,3,1,3,0,,,,
11, TAIKA_YANE,200,600,200,600,3,1,3,0,,,,
12, TAIKA_KISO,300,900,300,900,3,2,16,0,3,0,,
13, BOKAGLASS,20,5,20,5,1,1,1,0,,,,
14, BOKAGLASS,20,5,20,5,1,1,1,0,,,,
15, TAIKA_YUKA,300,600,300,600,3,2,3,0,16,0,,
16, TAIKA_MAJIKIRI,30,30,30,30,7,3,11,0,7,0,11,0
17,TAIKA_SOKANKAIKO,200,600,200,600,3,1,3,0,,,,
18,TAIKA_CHUKU,0,0,0,0,0,0,,,,,,
19,TAIKA_ELSE,0,0,0,0,0,0,,,,,,
20, JUNTAI_WALL,45,135,45,135,7,3,12,0,7,0,27,0
21, JUNTAI_YANE,30,90,30,90,6,3,11,0,6,0,22,0
22, JUNTAI_KISO,300,900,300,900,30,3,16,0,30,0,3,0
23, BOKAGLASS,20,5,20,5,1,1,1,0,,,,
24, BOKAGLASS,20,5,20,5,1,1,1,0,,,,
25, JUNTAI_YUKA,45,135,45,135,5,3,11,0,5,0,16,0
26, JUNTAI_MAJIKIRI,30,90,30,90,4,3,11,0,4,0,11,0
27,JUNTAI_SOKANKAIKO,20,60,20,60,1,1,12,0,,,,
28,JUNTAI_CHUKU,5,5,5,5,1,1,1,0,,,,
29,JUNTAI_ELSE,0,0,0,0,0,0,,,,,,
30, BOKA_WALL  ,20,60,30,90,4,3,17,0,4,0,19,0
31, BOKA_YANE,20,60,20,60,6,3,17,0,6,0,22,0
32, BOKA_KISO,300,900,300,900,5,3,16,0,5,0,3,0
33, NOMALGLASS,13,5,20,5,1,1,1,0,,,,
34, BOKAGLASS,13,5,20,5,1,1,1,0,,,,
35, BOKA_YUKA,20,60,20,60,5,3,10,0,5,0,16,0
36, BOKA_MAJIKIRI,10,30,10,30,4,3,17,0,4,0,17,0
37,BOKA_SOKANKAIKO,1,3,1,3,1,1,17,0,,,,
38,BOKA_CHUKU,5,5,5,5,1,1,1,0,,,,
39,BOKA_ELSE,0,0,0,0,0,0,,,,,,
40, BOKA_WALL  ,13,40,20,60,4,3,14,0,4,0,20,0
